contest_no,win,comp,policy_index,valence_index,Gender,Age,Race,Job,Political,Party,democrat,republican,resp_pid_7,resp_pid_3_text,resp_mturkid,same_party,mturk_clean
1,0,79,8,2,Male,65,Asian,Small Business Owner,State Legislator,Independent,1,0,2,Democrat, A121M38BLAUHOY,1,1
1,1,69,8,2,Male,55,Asian,Small Business Owner,None,Independent,1,0,2,Democrat, A121M38BLAUHOY,1,1
2,0,76,10,6,Male,35,Hispanic,Small Business Owner,State Legislator,Independent,1,0,2,Democrat, A121M38BLAUHOY,0,1
2,1,100,9,6,Male,65,Black,Small Business Owner,Mayor,Republican,1,0,2,Democrat, A121M38BLAUHOY,0,1
3,1,100,10,6,Female,45,White,Educator,Mayor,non-partisan,1,0,2,Democrat, A121M38BLAUHOY,1,1
3,0,82,9,4,Female,45,Hispanic,Small Business Owner,City Council Member,non-partisan,1,0,2,Democrat, A121M38BLAUHOY,1,1
4,1,90,8,5,Female,35,White,Police Officer,State Legislator,non-partisan,1,0,2,Democrat, A121M38BLAUHOY,1,1
4,0,87,9,4,Male,35,Black,Business Executive,City Council Member,non-partisan,1,0,2,Democrat, A121M38BLAUHOY,1,1
5,0,87,6,4,Male,55,Hispanic,Small Business Owner,Representative in Congress,Democrat,1,0,2,Democrat, A121M38BLAUHOY,0,1
5,1,100,8,3,Female,55,Black,Educator,State Legislator,Republican,1,0,2,Democrat, A121M38BLAUHOY,0,1
1,0,100,5,7,Male,45,Asian,Attorney,None,non-partisan,0,1,7,Republican, A14TSAF9CWRHYD,1,2
1,1,100,8,7,Male,45,White,Educator,None,non-partisan,0,1,7,Republican, A14TSAF9CWRHYD,1,2
2,0,6,8,4,Female,65,Black,Small Business Owner,Representative in Congress,non-partisan,0,1,7,Republican, A14TSAF9CWRHYD,1,2
2,1,100,8,7,Male,55,Black,Small Business Owner,Mayor,non-partisan,0,1,7,Republican, A14TSAF9CWRHYD,1,2
3,0,66,8,7,Female,35,Asian,Small Business Owner,None,non-partisan,0,1,7,Republican, A14TSAF9CWRHYD,1,2
3,1,100,8,7,Female,55,White,Police Officer,City Council Member,non-partisan,0,1,7,Republican, A14TSAF9CWRHYD,1,2
4,1,100,8,7,Male,55,Asian,Small Business Owner,State Legislator,Independent,0,1,7,Republican, A14TSAF9CWRHYD,0,2
4,0,59,8,7,Female,55,White,Police Officer,Mayor,Republican,0,1,7,Republican, A14TSAF9CWRHYD,0,2
5,0,57,8,7,Female,55,Hispanic,Educator,Representative in Congress,Independent,0,1,7,Republican, A14TSAF9CWRHYD,0,2
5,1,100,8,7,Male,45,White,Business Executive,State Legislator,Republican,0,1,7,Republican, A14TSAF9CWRHYD,0,2
1,0,71,9,5,Male,55,Black,Attorney,None,non-partisan,1,0,1,Democrat, A19PATBI3SQNU0,1,3
1,1,84,8,4,Female,35,White,Small Business Owner,Mayor,non-partisan,1,0,1,Democrat, A19PATBI3SQNU0,1,3
2,0,70,8,5,Female,45,White,Attorney,City Council Member,non-partisan,1,0,1,Democrat, A19PATBI3SQNU0,1,3
2,1,83,8,4,Female,55,White,Educator,Mayor,non-partisan,1,0,1,Democrat, A19PATBI3SQNU0,1,3
3,0,82,7,4,Male,55,Black,Educator,Representative in Congress,Democrat,1,0,1,Democrat, A19PATBI3SQNU0,1,3
3,1,93,10,5,Female,35,Hispanic,Small Business Owner,City Council Member,Democrat,1,0,1,Democrat, A19PATBI3SQNU0,1,3
4,1,83,9,5,Female,55,Black,Business Executive,Mayor,Democrat,1,0,1,Democrat, A19PATBI3SQNU0,1,3
4,0,72,8,4,Male,35,Black,Police Officer,None,Democrat,1,0,1,Democrat, A19PATBI3SQNU0,1,3
5,0,88,7,5,Male,55,White,Educator,Representative in Congress,non-partisan,1,0,1,Democrat, A19PATBI3SQNU0,1,3
5,1,80,8,5,Female,65,Asian,Attorney,State Legislator,non-partisan,1,0,1,Democrat, A19PATBI3SQNU0,1,3
1,0,75,9,3,Male,55,White,Business Executive,Mayor,non-partisan,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
1,1,75,8,3,Female,65,Asian,Business Executive,City Council Member,non-partisan,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
2,0,51,7,4,Female,35,White,Attorney,Representative in Congress,Republican,1,0,3,Democrat, A1CLS2A8N4D5G,0,4
2,1,60,7,5,Female,65,Hispanic,Small Business Owner,City Council Member,Independent,1,0,3,Democrat, A1CLS2A8N4D5G,0,4
3,1,59,7,4,Female,35,Black,Educator,None,Republican,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
3,0,49,8,4,Male,35,White,Attorney,State Legislator,Republican,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
4,0,50,7,5,Female,35,White,Educator,State Legislator,non-partisan,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
4,1,59,10,5,Male,35,Black,Attorney,State Legislator,non-partisan,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
5,0,30,7,2,Female,35,White,Educator,None,non-partisan,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
5,1,60,9,6,Male,35,White,Educator,City Council Member,non-partisan,1,0,3,Democrat, A1CLS2A8N4D5G,1,4
1,0,70,9,6,Male,35,Asian,Attorney,State Legislator,non-partisan,1,0,2,Democrat, A1H3CPG2QRK15J,1,5
1,1,80,8,5,Female,45,Black,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat, A1H3CPG2QRK15J,1,5
2,1,71,11,4,Male,55,Hispanic,Educator,State Legislator,Independent,1,0,2,Democrat, A1H3CPG2QRK15J,0,5
2,0,70,9,5,Female,45,Hispanic,Attorney,City Council Member,Democrat,1,0,2,Democrat, A1H3CPG2QRK15J,0,5
3,1,71,7,4,Female,45,Hispanic,Police Officer,None,Independent,1,0,2,Democrat, A1H3CPG2QRK15J,0,5
3,0,81,7,4,Male,35,Asian,Police Officer,State Legislator,Republican,1,0,2,Democrat, A1H3CPG2QRK15J,0,5
4,0,80,8,4,Female,45,Black,Business Executive,Representative in Congress,non-partisan,1,0,2,Democrat, A1H3CPG2QRK15J,1,5
4,1,80,8,4,Male,35,Hispanic,Business Executive,State Legislator,non-partisan,1,0,2,Democrat, A1H3CPG2QRK15J,1,5
5,1,80,10,4,Female,35,White,Small Business Owner,Mayor,Independent,1,0,2,Democrat, A1H3CPG2QRK15J,1,5
5,0,80,8,4,Male,45,Black,Business Executive,Mayor,Independent,1,0,2,Democrat, A1H3CPG2QRK15J,1,5
1,0,100,8,6,Male,65,Black,Educator,City Council Member,Democrat,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
1,1,100,8,6,Female,45,Hispanic,Small Business Owner,Representative in Congress,Democrat,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
2,0,22,7,3,Female,35,Asian,Educator,None,non-partisan,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
2,1,84,10,5,Male,45,Black,Attorney,Representative in Congress,non-partisan,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
3,0,59,10,5,Female,65,Black,Business Executive,City Council Member,Republican,1,0,2,Democrat, A2R3NCVWU3AY2L,0,6
3,1,82,8,5,Male,45,Asian,Small Business Owner,State Legislator,Independent,1,0,2,Democrat, A2R3NCVWU3AY2L,0,6
4,0,79,8,6,Male,65,Asian,Small Business Owner,Mayor,non-partisan,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
4,1,79,8,6,Male,55,Hispanic,Small Business Owner,State Legislator,non-partisan,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
5,0,22,6,3,Male,45,Hispanic,Business Executive,None,non-partisan,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
5,1,80,7,5,Male,55,Asian,Police Officer,Representative in Congress,non-partisan,1,0,2,Democrat, A2R3NCVWU3AY2L,1,6
1,1,70,6,5,Female,55,Hispanic,Educator,Mayor,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
1,0,59,7,4,Male,45,Asian,Attorney,None,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
2,0,55,6,4,Female,35,Asian,Police Officer,None,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
2,1,69,6,6,Female,45,Asian,Small Business Owner,State Legislator,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
3,1,70,7,5,Male,35,White,Small Business Owner,State Legislator,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
3,0,70,7,4,Male,55,Asian,Educator,Representative in Congress,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
4,0,82,8,4,Female,65,Asian,Business Executive,City Council Member,Independent,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
4,1,83,8,4,Female,45,White,Attorney,Mayor,Independent,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
5,0,69,8,4,Male,35,White,Police Officer,City Council Member,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
5,1,69,9,5,Male,45,Asian,Business Executive,Mayor,non-partisan,0,0,4,Independent, A2UNQAI5MDCKYG,1,7
1,1,70,7,4,Male,35,White,Business Executive,Representative in Congress,Republican,1,0,3,Democrat, A321UTTHJSC5PO,1,8
1,0,50,6,5,Female,55,Hispanic,Educator,Mayor,Republican,1,0,3,Democrat, A321UTTHJSC5PO,1,8
2,1,80,8,5,Male,35,White,Small Business Owner,None,Independent,1,0,3,Democrat, A321UTTHJSC5PO,1,8
2,0,40,8,5,Female,45,Hispanic,Business Executive,Representative in Congress,Independent,1,0,3,Democrat, A321UTTHJSC5PO,1,8
3,1,80,10,6,Female,55,Asian,Police Officer,City Council Member,Republican,1,0,3,Democrat, A321UTTHJSC5PO,0,8
3,0,50,6,4,Female,45,Hispanic,Educator,Representative in Congress,Independent,1,0,3,Democrat, A321UTTHJSC5PO,0,8
4,0,30,9,3,Male,55,Black,Attorney,None,Democrat,1,0,3,Democrat, A321UTTHJSC5PO,1,8
4,1,45,8,5,Male,55,White,Educator,State Legislator,Democrat,1,0,3,Democrat, A321UTTHJSC5PO,1,8
