responseid,dv,contest,winner,sample,female_respondent,orig_cand_female,c_gender,replication,first_orig,c_experience,c_childern,c_occupation,c_age,c_spouse_occupation,r_PID
247usa voter,1,1,0,usa voter,0,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
289usa voter,1,1,1,usa voter,1,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
905usa voter,2,1,0,usa voter,1,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1330usa voter,1,1,0,usa voter,1,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1711usa voter,1,2,0,usa voter,0,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
1980usa voter,3,1,0,usa voter,0,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2124usa voter,3,3,0,usa voter,1,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
2179usa voter,1,2,0,usa voter,1,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_2bEKGxDT66vU6Mtusa leg,2,2,1,usa leg,0,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_2n47LPvINCHKI7zusa leg,2,2,0,usa leg,0,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_2tuh3bupmmwybEVusa leg,2,2,1,usa leg,0,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_39tVzmiaAXQQHGJusa leg,1,1,1,usa leg,1,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3fvh1A7IqE2086husa leg,2,3,0,usa leg,0,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_3pV2unWfsgiLqMlusa leg,3,3,0,usa leg,1,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_5mXEfl17v11loqhusa leg,1,2,0,usa leg,0,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_5muhDBy3fg6i5cVusa leg,2,2,0,usa leg,1,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_6yeG3t6esbTCCs5usa leg,3,2,0,usa leg,1,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_9GoysGwstwwLGIJusa leg,2,3,0,usa leg,0,0,Male,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_9NAOZF7xfb15Qnrusa leg,3,3,0,usa leg,0,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_bjaVc5OwJ0ZhQEZusa leg,1,2,1,usa leg,1,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
R_e4DGkKWtXQhu5KJusa leg,3,1,0,usa leg,1,1,Female,0,NA,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
112752usa leg,NA,1,0,usa leg,0,0,Male,1,1,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
162424usa leg,NA,2,1,usa leg,1,1,Female,1,1,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
163448usa leg,NA,3,1,usa leg,0,1,Female,1,1,orig_0ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
326usa voter,2,1,0,usa voter,0,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
396usa voter,3,3,0,usa voter,0,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
399usa voter,3,2,0,usa voter,1,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
617usa voter,2,3,0,usa voter,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
738usa voter,3,2,0,usa voter,1,0,Male,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
827usa voter,2,1,1,usa voter,1,1,Female,0,NA,orig_1ys,orig_0ch,orig_teach,orig_29,orig_UN_sp,democrat_respondent
