"","Duration (in seconds)","Finished","ResponseId","Q578","Q579","Q580","Q271_1","Q271_2","Q271_3","Q271_4","Q271_5","Q271_6","Q78","Q77","Q76","Q75","Q74","Q581","F-1-1","F-1-1-1","F-1-2","F-1-1-2","F-1-3","F-1-1-3","F-1-2-1","F-1-2-2","F-1-2-3","F-2-1","F-2-1-1","F-2-2","F-2-1-2","F-2-3","F-2-1-3","F-2-2-1","F-2-2-2","F-2-2-3","F-3-1","F-3-1-1","F-3-2","F-3-1-2","F-3-3","F-3-1-3","F-3-2-1","F-3-2-2","F-3-2-3","duration_mins","scaled_duration_mins"
"1",295,TRUE,"R_3QMq6EzoaEhTjSI","Candidate 2","Candidate 1","Candidate 1","6","6","6","6","3","5","Student","Caucasian","Some college","Male",22,"Never","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Approximately 10 years","Acceptance of immigrants conditional on certain requisites","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Approximately 20 years","Welcome immigrants and organise human corridor","No proceedings","Past Political Experience","Approximately 20 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption",4.91666666666667,-0.621302744688745
"2",358,TRUE,"R_2ZWYdunD4yrjLI3","Candidate 1","Candidate 1","Candidate 2","6","3","3","6","1 - Strongly disagree","7 - Strongly agree","Unemployed","Caucasian","Some college","Male",32,"Never","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","No proceedings","Welcome immigrants and organise human corridor",5.96666666666667,-0.545009236614552
"3",310,TRUE,"R_3GEedrAF3Om8dOt","Candidate 2","Candidate 2","Candidate 1","6","3","6","5","3","6","Student","Asian","Some college","Male",21,"Never","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","No proceedings","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","None","Policy Proposal","Welcome immigrants and organise human corridor","No proceedings","None","Collective expulsion of immigrants and closure of the border",5.16666666666667,-0.603137623718699
"4",365,TRUE,"R_emv0H4GnLSxqphv","Candidate 2","Candidate 1","Candidate 1","6","5","5","4 - Neither agree nor disagree","5","5","Employed, full-time","Caucasian","Some college","Male",30,"Regularly","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate is under investigation for corruption","None","Collective expulsion of immigrants and closure of the border","No proceedings","Past Political Experience","Approximately 10 years","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","None","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Policy Proposal","Welcome immigrants and organise human corridor","Penal proceedings","The candidate is under investigation for corruption","Approximately 20 years","Collective expulsion of immigrants and closure of the border","The candidate has been convicted of corruption",6.08333333333333,-0.536532180161864
"5",364,TRUE,"R_1CIruyJc7nV18gB","Candidate 1","Candidate 2","Candidate 1","5","4 - Neither agree nor disagree","5","5","6","5","Employed, full-time","Caucasian","Bachelor degree","Male",30,"Regularly","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Acceptance of immigrants conditional on certain requisites","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","None","Penal proceedings","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","None","The candidate is under investigation for corruption",6.06666666666667,-0.537743188226534
"6",439,TRUE,"R_2TMFzzb17euaPQG","Candidate 1","Candidate 1","Candidate 2","5","4 - Neither agree nor disagree","4 - Neither agree nor disagree","4 - Neither agree nor disagree","3","5","Employed, part time","Hispanic","Bachelor degree","Male",41,"Sometimes","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate is under investigation for corruption","Past Political Experience","Approximately 20 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Penal proceedings","No proceedings","Past Political Experience","None","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","Approximately 10 years","Welcome immigrants and organise human corridor","The candidate has been convicted of corruption","Approximately 10 years",7.31666666666667,-0.446917583376304
"7",382,TRUE,"R_1nW9WV8huKhrI5v","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","4 - Neither agree nor disagree","7 - Strongly agree","4 - Neither agree nor disagree","1 - Strongly disagree","7 - Strongly agree","Employed, full-time","African American","Bachelor degree","Male",33,"Regularly","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate has been convicted of corruption","None","Acceptance of immigrants conditional on certain requisites","Penal proceedings","The candidate has been convicted of corruption","Past Political Experience","None","Policy Proposal","Collective expulsion of immigrants and closure of the border","No proceedings","Approximately 10 years","Collective expulsion of immigrants and closure of the border","Penal proceedings","No proceedings","Past Political Experience","None","Policy Proposal","Acceptance of immigrants conditional on certain requisites","The candidate is under investigation for corruption","Approximately 10 years","Welcome immigrants and organise human corridor",6.36666666666667,-0.515945043062479
"8",407,TRUE,"R_2s5cWapRJsgpI6a","Candidate 1","Candidate 2","Candidate 1","7 - Strongly agree","6","4 - Neither agree nor disagree","6","5","2","Employed, full-time","Hispanic","Bachelor degree","Male",36,"Sometimes","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","None","The candidate is under investigation for corruption","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","Approximately 10 years","The candidate has been convicted of corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","Penal proceedings","No proceedings","Collective expulsion of immigrants and closure of the border","Approximately 20 years","The candidate has been convicted of corruption",6.78333333333333,-0.485669841445736
"9",417,TRUE,"R_WuJZsGAKvztrlQt","Candidate 2","Candidate 2","Candidate 1","5","1 - Strongly disagree","6","3","3","6","Employed, full-time","Caucasian","Master degree","Female",40,"Regularly","Penal proceedings","No proceedings","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","No proceedings","Acceptance of immigrants conditional on certain requisites","Approximately 20 years","Penal proceedings","The candidate is under investigation for corruption","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 10 years","The candidate is under investigation for corruption","Welcome immigrants and organise human corridor","Approximately 10 years","Penal proceedings","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","Approximately 20 years","The candidate is under investigation for corruption","Collective expulsion of immigrants and closure of the border","None",6.95,-0.473559760799038
"10",433,TRUE,"R_2wbipBCW8Q3FmSR","Candidate 1","Candidate 2","Candidate 2","7 - Strongly agree","1 - Strongly disagree","7 - Strongly agree","3","3","6","Employed, full-time","Caucasian","Master degree","Male",30,"Regularly","Policy Proposal","Acceptance of immigrants conditional on certain requisites","Past Political Experience","Approximately 20 years","Penal proceedings","The candidate has been convicted of corruption","Collective expulsion of immigrants and closure of the border","None","No proceedings","Policy Proposal","Welcome immigrants and organise human corridor","Past Political Experience","Approximately 10 years","Penal proceedings","The candidate has been convicted of corruption","Welcome immigrants and organise human corridor","None","No proceedings","Policy Proposal","Collective expulsion of immigrants and closure of the border","Past Political Experience","None","Penal proceedings","No proceedings","Welcome immigrants and organise human corridor","Approximately 10 years","No proceedings",7.21666666666667,-0.454183631764323
