StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,cj_1,cj_2,cj_3,cj_4,cj_5,forced_pid,age,language,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"KU Leuven Informed ConsentTitle: Candidate PreferencesPrincipal Investigator: Martin LukacCo-Investigator: Alberto Stefanelli ProceduresYou are being asked to take part in a research study. If you decide to take part, you will complete an online survey that will take 15-20 minutes of your time. You may take the survey wherever is convenient for you. CompensationYou will receive compensation as you have previously agreed with your supplier panel Voluntary Participation and WithdrawalYou do not have to be in this study. If you decide to be in the study and change your mind, you have the right to drop out at any time. Contact InformationContact Professor name@surname.edu if you have questions or concerns. ConsentIf you are willing to volunteer for this research, please continue further and click on the Agree button and start the survey.","Question 1



Please carefully review the profiles detailed below, then please answer the questions. Remeber, these are not real candidates.




Which of these two candidate do you prefer?








 

Choice 1

Choice 2


[Field-F-1-1]
[Field-F-1-1-1]
[Field-F-1-2-1]

[Field-F-1-2]
[Field-F-1-1-2]
[Field-F-1-2-2]

[Field-F-1-3]
[Field-F-1-1-3]
[Field-F-1-2-3]

[Field-F-1-4]
[Field-F-1-1-4]
[Field-F-1-2-4]","Question 2



Please carefully review the profiles detailed below, then please answer the questions. Remeber, these are not real candidates.




Which of these two candidate do you prefer?








 

Candidate 1

Candidate 2


[Field-F-2-1]
[Field-F-2-1-1]
[Field-F-2-2-1]

[Field-F-2-2]
[Field-F-2-1-2]
[Field-F-2-2-2]

[Field-F-2-3]
[Field-F-2-1-3]
[Field-F-2-2-3]

[Field-F-2-4]
[Field-F-2-1-4]
[Field-F-2-2-4]","Question 3



Please carefully review the profiles detailed below, then please answer the questions. Remeber, these are not real candidates.




Which of these two candidate do you prefer?








 

Candidate 1

Candidate 2


[Field-F-3-1]
[Field-F-3-1-1]
[Field-F-3-2-1]

[Field-F-3-2]
[Field-F-3-1-2]
[Field-F-3-2-2]

[Field-F-3-3]
[Field-F-3-1-3]
[Field-F-3-2-3]

[Field-F-3-4]
[Field-F-3-1-4]
[Field-F-3-2-4]","Question 4



Please carefully review the profiles detailed below, then please answer the questions. Remeber, these are not real candidates.




Which of these two candidate do you prefer?








 

Candidate 1

Candidate 2


[Field-F-4-1]
[Field-F-4-1-1]
[Field-F-4-2-1]

[Field-F-4-2]
[Field-F-4-1-2]
[Field-F-4-2-2]

[Field-F-4-3]
[Field-F-4-1-3]
[Field-F-4-2-3]

[Field-F-4-4]
[Field-F-4-1-4]
[Field-F-4-2-4]","Question 5



Please carefully review the profiles detailed below, then please answer the questions. Remeber, these are not real candidates.




Which of these two candidate do you prefer?








 

Candidate 1

Candidate 2


[Field-F-5-1]
[Field-F-5-1-1]
[Field-F-5-2-1]

[Field-F-5-2]
[Field-F-5-1-2]
[Field-F-5-2-2]

[Field-F-5-3]
[Field-F-5-1-3]
[Field-F-5-2-3]

[Field-F-5-4]
[Field-F-5-1-4]
[Field-F-5-2-4]",Think of the political issues most important to you. Do you feel any of these parties deal with these issues better?,What's your age?,What's the language the you speak the most at home or with your friends?FrenchTurkishItalianPortugueseDutchNone of the above,F-1-1,F-1-1-1,F-1-2,F-1-1-2,F-1-3,F-1-1-3,F-1-4,F-1-1-4,F-1-2-1,F-1-2-2,F-1-2-3,F-1-2-4,F-2-1,F-2-1-1,F-2-2,F-2-1-2,F-2-3,F-2-1-3,F-2-4,F-2-1-4,F-2-2-1,F-2-2-2,F-2-2-3,F-2-2-4,F-3-1,F-3-1-1,F-3-2,F-3-1-2,F-3-3,F-3-1-3,F-3-4,F-3-1-4,F-3-2-1,F-3-2-2,F-3-2-3,F-3-2-4,F-4-1,F-4-1-1,F-4-2,F-4-1-2,F-4-3,F-4-1-3,F-4-4,F-4-1-4,F-4-2-1,F-4-2-2,F-4-2-3,F-4-2-4,F-5-1,F-5-1-1,F-5-2,F-5-1-2,F-5-3,F-5-1-3,F-5-4,F-5-1-4,F-5-2-1,F-5-2-2,F-5-2-3,F-5-2-4
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""F-1-1""}","{""ImportId"":""F-1-1-1""}","{""ImportId"":""F-1-2""}","{""ImportId"":""F-1-1-2""}","{""ImportId"":""F-1-3""}","{""ImportId"":""F-1-1-3""}","{""ImportId"":""F-1-4""}","{""ImportId"":""F-1-1-4""}","{""ImportId"":""F-1-2-1""}","{""ImportId"":""F-1-2-2""}","{""ImportId"":""F-1-2-3""}","{""ImportId"":""F-1-2-4""}","{""ImportId"":""F-2-1""}","{""ImportId"":""F-2-1-1""}","{""ImportId"":""F-2-2""}","{""ImportId"":""F-2-1-2""}","{""ImportId"":""F-2-3""}","{""ImportId"":""F-2-1-3""}","{""ImportId"":""F-2-4""}","{""ImportId"":""F-2-1-4""}","{""ImportId"":""F-2-2-1""}","{""ImportId"":""F-2-2-2""}","{""ImportId"":""F-2-2-3""}","{""ImportId"":""F-2-2-4""}","{""ImportId"":""F-3-1""}","{""ImportId"":""F-3-1-1""}","{""ImportId"":""F-3-2""}","{""ImportId"":""F-3-1-2""}","{""ImportId"":""F-3-3""}","{""ImportId"":""F-3-1-3""}","{""ImportId"":""F-3-4""}","{""ImportId"":""F-3-1-4""}","{""ImportId"":""F-3-2-1""}","{""ImportId"":""F-3-2-2""}","{""ImportId"":""F-3-2-3""}","{""ImportId"":""F-3-2-4""}","{""ImportId"":""F-4-1""}","{""ImportId"":""F-4-1-1""}","{""ImportId"":""F-4-2""}","{""ImportId"":""F-4-1-2""}","{""ImportId"":""F-4-3""}","{""ImportId"":""F-4-1-3""}","{""ImportId"":""F-4-4""}","{""ImportId"":""F-4-1-4""}","{""ImportId"":""F-4-2-1""}","{""ImportId"":""F-4-2-2""}","{""ImportId"":""F-4-2-3""}","{""ImportId"":""F-4-2-4""}","{""ImportId"":""F-5-1""}","{""ImportId"":""F-5-1-1""}","{""ImportId"":""F-5-2""}","{""ImportId"":""F-5-1-2""}","{""ImportId"":""F-5-3""}","{""ImportId"":""F-5-1-3""}","{""ImportId"":""F-5-4""}","{""ImportId"":""F-5-1-4""}","{""ImportId"":""F-5-2-1""}","{""ImportId"":""F-5-2-2""}","{""ImportId"":""F-5-2-3""}","{""ImportId"":""F-5-2-4""}"
2020-02-10 12:51:35,2020-02-10 12:51:35,Survey Test,,100,0,True,2020-02-10 12:51:35,R_0iWKsvwGOe0VtyZ,,,,,50.8000030517578125,4.3166961669921875,test,,Agree,Candidate 2,Candidate 1,Candidate 2,Candidate 2,Candidate 1,MR-VLD,Facilisis felis wisi cras donec venenatis. Diam odio lectus rhoncus tempor porta.,Dutch,Party,MR-VLD (Right),Age,50s,Years in Politics,20,Language Spoken,Italian,MR-VLD (Right),30s,10,French,Party,PS (Left),Age,50s,Years in Politics,10,Language Spoken,Italian,MR-VLD (Right),40s,5,French,Party,PS (Left),Age,50s,Years in Politics,20,Language Spoken,Italian,ECOLO (Greens),50s,10,Turkish,Party,PS (Left),Age,30s,Years in Politics,10,Language Spoken,French,ECOLO (Greens),50s,10,Turkish,Party,PS (Left),Age,50s,Years in Politics,20,Language Spoken,Turkish,CDH (Liberals),50s,10,Italian
2020-02-10 12:51:35,2020-02-10 12:51:36,Survey Test,,100,1,True,2020-02-10 12:51:36,R_7UlHfTtLFBqpNhb,,,,,50.8000030517578125,4.3166961669921875,test,,Agree,Candidate 1,Candidate 2,Candidate 2,Candidate 2,Candidate 2,N-VA,"Nonummy lorem ut venenatis, praesent mauris sem euismod culpa aliquet.",Portuguese,Party,MR-VLD (Right),Age,40s,Language Spoken,Portuguese,Years in Politics,20,PS (Left),50s,French,5,Party,PS (Left),Age,50s,Language Spoken,French,Years in Politics,10,ECOLO (Greens),50s,Turkish,10,Party,PS (Left),Age,50s,Language Spoken,Turkish,Years in Politics,5,PS (Left),40s,French,5,Party,PS (Left),Age,50s,Language Spoken,Italian,Years in Politics,20,PS (Left),50s,Turkish,5,Party,PS (Left),Age,50s,Language Spoken,French,Years in Politics,10,PS (Left),50s,Turkish,5
2020-02-10 12:51:36,2020-02-10 12:51:36,Survey Test,,100,0,True,2020-02-10 12:51:36,R_3gUPOhYRccE0tVz,,,,,50.8000030517578125,4.3166961669921875,test,,Disagree,Candidate 2,Candidate 2,Candidate 1,Candidate 2,Candidate 2,MR-VLD,"Dolor rhoncus. Eu, et blandit. Magna aliquam gravida ridiculus dapibus ut potenti cras blandit? Nulla.",Italian,Language Spoken,French,Age,50s,Years in Politics,10,Party,CDH (Liberals),Dutch,40s,20,ECOLO (Greens),Language Spoken,French,Age,50s,Years in Politics,20,Party,ECOLO (Greens),French,50s,5,N-VA (Radical Right),Language Spoken,Italian,Age,50s,Years in Politics,20,Party,ECOLO (Greens),French,30s,5,PS (Left),Language Spoken,Italian,Age,50s,Years in Politics,10,Party,PS (Left),French,50s,5,CDH (Liberals),Language Spoken,French,Age,50s,Years in Politics,5,Party,ECOLO (Greens),Portuguese,40s,5,MR-VLD (Right)
2020-02-10 12:51:36,2020-02-10 12:51:37,Survey Test,,100,1,True,2020-02-10 12:51:37,R_3Jk22q0tvxSE46x,,,,,50.8000030517578125,4.3166961669921875,test,,Agree,Candidate 1,Candidate 2,Candidate 1,Candidate 1,Candidate 2,PS,Aliquam elit pretium. Etiam integer curabitur accusamus ultrices risus atque consequat purus eget augue suscipit.,Italian,Age,40s,Party,PS (Left),Language Spoken,Turkish,Years in Politics,10,50s,PVDA (Radical-Left),Portuguese,5,Age,30s,Party,CDH (Liberals),Language Spoken,Italian,Years in Politics,5,50s,MR-VLD (Right),Turkish,10,Age,50s,Party,PS (Left),Language Spoken,Turkish,Years in Politics,20,40s,PVDA (Radical-Left),Italian,5,Age,40s,Party,PS (Left),Language Spoken,French,Years in Politics,20,50s,PS (Left),French,5,Age,40s,Party,CDH (Liberals),Language Spoken,Italian,Years in Politics,10,50s,ECOLO (Greens),Turkish,20
2020-02-10 12:51:37,2020-02-10 12:51:37,Survey Test,,100,0,True,2020-02-10 12:51:37,R_5drpf0NPtTCFRl3,,,,,50.8000030517578125,4.3166961669921875,test,,Disagree,Candidate 2,Candidate 1,Candidate 1,Candidate 2,Candidate 2,N-VA,"Nonummy lectus vehicula elit eros, amet ullamcorper auctor venenatis morbi. Lorem aenean lorem suspendisse arcu.",Turkish,Age,50s,Years in Politics,10,Language Spoken,Dutch,Party,PVDA (Radical-Left),50s,5,Portuguese,PVDA (Radical-Left),Age,30s,Years in Politics,10,Language Spoken,French,Party,CDH (Liberals),50s,5,Italian,PS (Left),Age,50s,Years in Politics,10,Language Spoken,Italian,Party,PS (Left),40s,10,Italian,PS (Left),Age,40s,Years in Politics,5,Language Spoken,Turkish,Party,MR-VLD (Right),40s,5,French,PS (Left),Age,50s,Years in Politics,20,Language Spoken,French,Party,PS (Left),50s,5,Turkish,ECOLO (Greens)
2020-02-10 12:51:37,2020-02-10 12:51:38,Survey Test,,100,1,True,2020-02-10 12:51:38,R_8wiy2YnuA6JOatT,,,,,50.8000030517578125,4.3166961669921875,test,,Disagree,Candidate 2,Candidate 1,Candidate 2,Candidate 2,Candidate 2,PS,"Praesent eros pharetra, elementum justo vestibulum tempor. Wisi egestas cursus pellentesque posuere magnis ante potenti.",None of the above,Age,50s,Years in Politics,5,Language Spoken,Italian,Party,ECOLO (Greens),50s,10,Dutch,MR-VLD (Right),Age,50s,Years in Politics,10,Language Spoken,Turkish,Party,ECOLO (Greens),40s,20,French,ECOLO (Greens),Age,40s,Years in Politics,20,Language Spoken,Italian,Party,MR-VLD (Right),50s,20,French,ECOLO (Greens),Age,50s,Years in Politics,5,Language Spoken,Turkish,Party,CDH (Liberals),40s,20,Turkish,CDH (Liberals),Age,50s,Years in Politics,5,Language Spoken,Turkish,Party,CDH (Liberals),40s,20,French,MR-VLD (Right)
2020-02-10 12:51:38,2020-02-10 12:51:38,Survey Test,,100,0,True,2020-02-10 12:51:38,R_eJXDmD3CBJdYGDX,,,,,50.8000030517578125,4.3166961669921875,test,,Disagree,Candidate 1,Candidate 2,Candidate 2,Candidate 2,Candidate 1,ECOLO,At ipsum amet metus curabitur sit. Nec tempus dapibus ab nec sit malesuada.,None of the above,Years in Politics,20,Party,MR-VLD (Right),Language Spoken,Turkish,Age,40s,20,ECOLO (Greens),French,40s,Years in Politics,5,Party,CDH (Liberals),Language Spoken,Turkish,Age,40s,20,PS (Left),French,50s,Years in Politics,20,Party,MR-VLD (Right),Language Spoken,Turkish,Age,50s,20,ECOLO (Greens),Italian,50s,Years in Politics,20,Party,PVDA (Radical-Left),Language Spoken,French,Age,50s,5,ECOLO (Greens),French,40s,Years in Politics,20,Party,PVDA (Radical-Left),Language Spoken,Turkish,Age,40s,10,PS (Left),Turkish,50s
